NIVEL;CURSO;OA;COD_ASG;ASIGNATURA;CATEGORIA;DESCRIPCION
B;1B;OA 01;AR01;Artes Visuales;Aprendizajes Basales;"Expresar y crear trabajos de arte a partir de la observación del: entorno natural: paisaje, animales y plantas,  entorno cultural: vida cotidiana y familiar,  entorno artístico: obras de arte local, chileno, latinoamericano y del resto del mundo."";"
B;1B;OA 02;AR01;Artes Visuales;Aprendizajes Complementarios;"Experimentar y aplicar elementos del lenguaje visual en sus trabajos de arte: línea (gruesa, delgada, recta, ondulada e irregular), color (puros, mezclados, fríos y cálidos),  textura (visual y táctil)."";"
B;1B;OA 03;AR01;Artes Visuales;Aprendizajes Complementarios;"Expresar emociones e ideas en sus trabajos de arte a partir de la experimentación con: materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas, textiles e imágenes digitales,  herramientas para dibujar, pintar, cortar, modelar, unir y tecnológicas (pincel, tijera, esteca, computador, entre otras);procedimientos de dibujo, pintura, collage, escultura, dibujo digital y otros."";"
B;1B;OA 04;AR01;Artes Visuales;Aprendizajes Basales;Observar y comunicar oralmente sus primeras impresiones de lo que sienten y piensan de obras de arte por variados medios. (Observar anualmente al menos 10 obras de arte local o chileno, 10 latinoamericanas y 10 de arte universal).
B;1B;OA 05;AR01;Artes Visuales;Aprendizajes Basales;Explicar sus preferencias frente al trabajo de arte personal y de sus pares, usando elementos del lenguaje visual.
B;1B;OAA A;AR01;Artes Visuales;Actitudes;Disfrutar de múltiples expresiones artísticas.
B;1B;OAA B;AR01;Artes Visuales;Actitudes;Demostrar disposición a expresar artísticamente las propias ideas y sentimientos.
B;1B;OAA C;AR01;Artes Visuales;Actitudes;Valorar y cuidar el patrimonio artístico de su comunidad, región, país y de la humanidad.
B;1B;OAA D;AR01;Artes Visuales;Actitudes;Demostrar disposición a desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;1B;OAA E;AR01;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;1B;OAA F;AR01;Artes Visuales;Actitudes;Respetar y valorar el trabajo riguroso y el esfuerzo propio y de otros.
B;1B;OAA G;AR01;Artes Visuales;Actitudes;Respetar el trabajo artístico de otros, valorando la originalidad.
B;2B;OA 01;AR02;Artes Visuales;Aprendizajes Basales;"Expresar y crear trabajos de arte a partir de la observación del: entorno natural: figura humana y paisajes chilenos, entorno cultural: personas y patrimonio cultural de Chile, entorno artístico: obras de arte local, chileno, latinoamericano y del resto del mundo."";"
B;2B;OA 02;AR02;Artes Visuales;Aprendizajes Complementarios;"Experimentar y aplicar elementos de lenguaje visual (incluidos los del nivel anterior) en sus trabajos de arte: línea (vertical, horizontal, diagonal, espiral y quebrada);color (primarios y secundarios),  formas (geométricas)."";"
B;2B;OA 03;AR02;Artes Visuales;Aprendizajes Complementarios;"Expresar emociones e ideas en sus trabajos de arte, a partir de la experimentación con:materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas, textiles e imágenes digitales,  herramientas para dibujar, pintar, cortar, modelar, unir y tecnológicas (pincel, tijera, mirete, computador, entre otras), procedimientos de dibujo, pintura, collage, escultura, dibujo digital, entre otros."";"
B;2B;OA 04;AR02;Artes Visuales;Aprendizajes Basales;Comunicar y explicar sus impresiones de lo que sienten y piensan de obras de arte por variados medios. (Observar anualmente al menos 10 obras de arte local o chileno, 10 latinoamericanas y 10 de arte universal).
B;2B;OA 05;AR02;Artes Visuales;Aprendizajes Basales;Explicar sus preferencias frente al trabajo de arte personal y de sus pares, usando elementos del lenguaje visual.
B;2B;OAA A;AR02;Artes Visuales;Actitudes;Disfrutar de múltiples expresiones artísticas.
B;2B;OAA B;AR02;Artes Visuales;Actitudes;Demostrar disposición a expresar artísticamente las propias ideas y sentimientos.
B;2B;OAA C;AR02;Artes Visuales;Actitudes;Valorar y cuidar el patrimonio artístico de su comunidad, región, país y de la humanidad.
B;2B;OAA D;AR02;Artes Visuales;Actitudes;Demostrar disposición a desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;2B;OAA E;AR02;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;2B;OAA F;AR02;Artes Visuales;Actitudes;Respetar y valorar el trabajo riguroso y el esfuerzo propio y de otros.
B;2B;OAA G;AR02;Artes Visuales;Actitudes;Valorar la originalidad y respetar el trabajo artístico de otros.
B;3B;OA 01;AR03;Artes Visuales;Aprendizajes Basales;"Crear trabajos de arte con un propósito expresivo personal y basados en la observación del: entorno natural: animales, plantas y fenómenos naturales, entorno cultural: creencias de distintas culturas (mitos, seres imaginarios, dioses, fiestas, tradiciones, otros);entorno artístico: arte de la Antigüedad y movimientos artísticos como fauvismo, expresionismo y art nouveau."";"
B;3B;OA 02;AR03;Artes Visuales;Aprendizajes Complementarios;"Aplicar elementos del lenguaje visual (incluidos los de niveles anteriores) en sus trabajos de arte, con diversos propósitos expresivos y creativos: color (frío, cálido y expresivo),  textura (en plano y volumen), forma (real y recreada)."";"
B;3B;OA 03;AR03;Artes Visuales;Aprendizajes Complementarios;"Crear trabajos de arte a partir de experiencias, intereses y temas del entorno natural y artístico, demostrando manejo de:materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas, textiles e imágenes digitales,  herramientas para dibujar, pintar, cortar, modelar, unir y tecnológicas (pincel, tijera, mirete, computador, cámara fotográfica, entre otras),  procedimientos de dibujo, pintura, grabado, escultura, técnicas mixtas, artesanía, fotografía, entre otros."";"
B;3B;OA 04;AR03;Artes Visuales;Aprendizajes Basales;Describir sus observaciones de obras de arte y objetos, usando elementos del lenguaje visual y expresando lo que sienten y piensan. (Observar anualmente al menos 15 obras de arte y artesanía local y chilena, 15 latinoamericanas y 15 de arte universal).
B;3B;OA 05;AR03;Artes Visuales;Aprendizajes Basales;Describir fortalezas y aspectos a mejorar en el trabajo de arte personal y de sus pares, usando criterios de uso de materiales, procedimientos técnicos y propósito expresivo.
B;3B;OAA A;AR03;Artes Visuales;Actitudes;Disfrutar de múltiples expresiones artísticas.
B;3B;OAA B;AR03;Artes Visuales;Actitudes;Demostrar disposición a expresar artísticamente las propias ideas y sentimientos.
B;3B;OAA C;AR03;Artes Visuales;Actitudes;Valorar y cuidar el patrimonio artístico de su comunidad, región, país y de la humanidad.
B;3B;OAA D;AR03;Artes Visuales;Actitudes;Demostrar disposición a desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;3B;OAA E;AR03;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;3B;OAA F;AR03;Artes Visuales;Actitudes;Respetar y valorar el trabajo riguroso y el esfuerzo propio y de otros.
B;3B;OAA G;AR03;Artes Visuales;Actitudes;Respetar el trabajo artístico de otros, valorando la originalidad.
B;4B;OA 01;AR04;Artes Visuales;Aprendizajes Basales;"Crear trabajos de arte con un propósito expresivo personal y basados en la observación del: entorno natural: naturaleza y paisaje americano, entorno cultural: América y sus tradiciones (cultura precolombina, tradiciones y artesanía americana), entorno artístico: arte precolombino y de movimientos artísticos como muralismo mexicano, naif y surrealismo en Chile, Latinoamérica y en el resto del mundo."";"
B;4B;OA 02;AR04;Artes Visuales;Aprendizajes Complementarios;"Aplicar elementos del lenguaje visual (incluidos los de niveles anteriores) en sus trabajos de arte, con diversos propósitos expresivos y creativos: líneas de contorno, color (tono y matiz), forma (figurativa y no figurativa)."";"
B;4B;OA 03;AR04;Artes Visuales;Aprendizajes Complementarios;"Crear trabajos de arte a partir de experiencias, intereses y temas del entorno natural, cultural y artístico, demostrando manejo de: materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas, textiles e imágenes digitales,  herramientas para dibujar, pintar, cortar, unir, modelar y tecnológicas (pincel, tijera, mirete, computador, cámara fotográfica, entre otras), procedimientos de dibujo, pintura, grabado, escultura, técnicas mixtas, artesanía, fotografía, entre otros."";"
B;4B;OA 04;AR04;Artes Visuales;Aprendizajes Basales;Describir sus observaciones de obras de arte y objetos, usando elementos del lenguaje visual y expresando lo que sienten y piensan. (Observar anualmente al menos 15 obras de arte y artesanía local y chilena, 15 de arte latinoamericano y 15 de arte universal).
B;4B;OA 05;AR04;Artes Visuales;Aprendizajes Basales;Describir fortalezas y aspectos a mejorar en el trabajo de arte personal y de sus pares, aplicando criterios de uso de materiales, procedimientos técnicos y propósito expresivo.
B;4B;OAA A;AR04;Artes Visuales;Actitudes;Disfrutar de múltiples expresiones artísticas.
B;4B;OAA B;AR04;Artes Visuales;Actitudes;Demostrar disposición a expresar artísticamente las propias ideas y sentimientos.
B;4B;OAA C;AR04;Artes Visuales;Actitudes;Valorar y cuidar el patrimonio artístico de su comunidad, región, país y de la humanidad.
B;4B;OAA D;AR04;Artes Visuales;Actitudes;Demostrar disposición a desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;4B;OAA E;AR04;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;4B;OAA F;AR04;Artes Visuales;Actitudes;Respetar y valorar el trabajo riguroso y el esfuerzo propio y de otros.
B;4B;OAA G;AR04;Artes Visuales;Actitudes;Respetar el trabajo artístico de otros, valorando la originalidad.
B;5B;OA 01;AR05;Artes Visuales;Aprendizajes Basales;"Crear trabajos de arte y diseños a partir de sus propias ideas y de la observación del: entorno cultural: Chile, su paisaje y sus costumbres en el pasado y en el presente,  entorno artístico: impresionismo y postimpresionismo,  diseño en Chile, Latinoamérica y del resto del mundo."";"
B;5B;OA 02;AR05;Artes Visuales;Aprendizajes Complementarios;Aplicar y combinar elementos del lenguaje visual (incluidos los de niveles anteriores) en trabajos de arte y diseño con diferentes propósitos expresivos y creativos: color (complementario), formas (abiertas y cerradas),  luz y sombra.;
B;5B;OA 03;AR05;Artes Visuales;Aprendizajes Complementarios;"Crear trabajos de arte y diseños a partir de diferentes desafíos y temas del entorno cultural y artístico, demostrando dominio en el uso de: materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas, textiles e imágenes digitales,  herramientas para dibujar, pintar, cortar, unir, modelar y tecnológicas (brocha, sierra de calar, esteca, cámara de video y proyector multimedia, entre otros),  procedimientos de pintura, escultura, construcción, fotografía, video, diseño gráfico digital, entre otros."";"
B;5B;OA 04;AR05;Artes Visuales;Aprendizajes Basales;Analizar e interpretar obras de arte y diseño en relación con la aplicación del lenguaje visual, contextos, materiales, estilos u otros. (Observar anualmente al menos 50 obras de arte y diseño chileno, latinoamericano y universal).
B;5B;OA 05;AR05;Artes Visuales;Aprendizajes Basales;"Describir y comparar trabajos de arte y diseño personales y de sus pares, considerando: fortalezas y aspectos a mejorar,  uso de materiales y procedimientos,  aplicación de elementos del lenguaje visual, propósitos expresivos."";"
B;5B;OAA A;AR05;Artes Visuales;Actitudes;Disfrutar de múltiples expresiones artísticas.
B;5B;OAA B;AR05;Artes Visuales;Actitudes;Demostrar disposición a expresar artísticamente las propias ideas y sentimientos.
B;5B;OAA C;AR05;Artes Visuales;Actitudes;Valorar y cuidar el patrimonio artístico de su comunidad, región, país y de la humanidad.
B;5B;OAA D;AR05;Artes Visuales;Actitudes;Demostrar disposición a desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;5B;OAA E;AR05;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;5B;OAA F;AR05;Artes Visuales;Actitudes;Respetar y valorar el trabajo riguroso y el esfuerzo propio y de otros.
B;5B;OAA G;AR05;Artes Visuales;Actitudes;Respetar el trabajo artístico de otros, valorando la originalidad.
B;6B;OA 01;AR06;Artes Visuales;Aprendizajes Basales;Crear trabajos de arte y diseños a partir de sus propias ideas y de la observación del: entorno cultural: el hombre contemporáneo y la ciudad, entorno artístico: el arte contemporáneo,  el arte en el espacio público (murales y esculturas).;
B;6B;OA 02;AR06;Artes Visuales;Aprendizajes Complementarios;Aplicar y combinar elementos del lenguaje visual (incluidos los de los niveles anteriores)en trabajos de arte y diseños con diferentes propósitos expresivos y creativos:color (gamas y contrastes), volumen (lleno y vacío).;
B;6B;OA 03;AR06;Artes Visuales;Aprendizajes Complementarios;"Crear trabajos de arte y diseños a partir de diferentes desafíos y temas del entorno cultural y artístico, demostrando dominio en el uso de: materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas e imágenes digitales, herramientas para dibujar, pintar, cortar unir, modelar y tecnológicas (rodillos de grabado, sierra de calar, mirete, cámara de video y proyector multimedia, entre otros),  procedimientos de pintura, grabado, escultura, instalación, técnicas mixtas, arte digital, fotografía, video, murales, entre otros."";"
B;6B;OA 04;AR06;Artes Visuales;Aprendizajes Basales;Analizar e interpretar obras de arte y objetos en relación con la aplicación del lenguaje visual, contextos, materiales, estilos u otros. (Observar anualmente al menos 50 obras de arte del arte chileno, latinoamericano y universal).
B;6B;OA 05;AR06;Artes Visuales;Aprendizajes Basales;Evaluar críticamente trabajos de arte y diseño personales y de sus pares considerando: expresión de emociones y problemáticas sociales, aplicación de elementos de lenguaje visual, originalidad  propósitos expresivos en trabajos de arte.;
B;6B;OAA A;AR06;Artes Visuales;Actitudes;Disfrutar de múltiples expresiones artísticas.
B;6B;OAA B;AR06;Artes Visuales;Actitudes;Demostrar disposición a expresar artísticamente las propias ideas y sentimientos.
B;6B;OAA C;AR06;Artes Visuales;Actitudes;Valorar y cuidar el patrimonio artístico de su comunidad, región, país y de la humanidad.
B;6B;OAA D;AR06;Artes Visuales;Actitudes;Demostrar disposición a desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;6B;OAA E;AR06;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;6B;OAA F;AR06;Artes Visuales;Actitudes;Respetar y valorar el trabajo riguroso y el esfuerzo propio y de otros.
B;6B;OAA G;AR06;Artes Visuales;Actitudes;Respetar el trabajo artístico de otros, valorando la originalidad.
B;7B;OA 01;AR07;Artes Visuales;Aprendizajes Basales;Crear trabajos visuales basados en las percepciones, sentimientos e ideas generadas a partir de la observación de manifestaciones estéticas referidas a diversidad cultural, género e íconos sociales, patrimoniales y contemporáneas.
B;7B;OA 02;AR07;Artes Visuales;Aprendizajes Basales;Crear trabajos visuales a partir de intereses personales, experimentando con materiales sustentables en dibujo, pintura y escultura.
B;7B;OA 03;AR07;Artes Visuales;Aprendizajes Complementarios;Crear trabajos visuales a partir de la imaginación, experimentando con medios digitales de expresión contemporáneos como fotografía y edición de imágenes.
B;7B;OA 04;AR07;Artes Visuales;Aprendizajes Basales;Interpretar manifestaciones visuales patrimoniales y contemporáneas, atendiendo a criterios como características del medio de expresión, materialidad y lenguaje visual.
B;7B;OA 05;AR07;Artes Visuales;Aprendizajes Complementarios;Interpretar relaciones entre propósito expresivo del trabajo artístico personal y de sus pares, y la utilización del lenguaje visual.
B;7B;OA 06;AR07;Artes Visuales;Aprendizajes Basales;Caracterizar y apreciar espacios de difusión de las artes visuales contemplando medios de expresión presentes, espacio, montaje y público, entre otros.
B;7B;OAA A;AR07;Artes Visuales;Actitudes;Disfrutar y valorar la diversidad en manifestaciones estéticas provenientes de múltiples contextos.
B;7B;OAA B;AR07;Artes Visuales;Actitudes;Valorar el patrimonio artístico de su comunidad, aportando a su cuidado.
B;7B;OAA C;AR07;Artes Visuales;Actitudes;Demostrar disposición a expresarse visualmente y desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;7B;OAA D;AR07;Artes Visuales;Actitudes;Aportar a la sustentabilidad del medioambiente utilizando o reciclando de manera responsable materiales en sus trabajos y proyectos visuales.
B;7B;OAA E;AR07;Artes Visuales;Actitudes;Respetar el trabajo visual de otros, valorando la originalidad.
B;7B;OAA F;AR07;Artes Visuales;Actitudes;Compartir trabajos y proyectos visuales con su comunidad o en otros círculos.
B;7B;OAA G;AR07;Artes Visuales;Actitudes;Buscar, evaluar y usar información disponible en diversos medios (uso de diversas competencias de información y de investigación).
B;7B;OAA H;AR07;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;8B;OA 01;AR08;Artes Visuales;Aprendizajes Basales;Crear trabajos visuales basados en la apreciación y el análisis de manifestaciones estéticas referidas a la relación entre personas, naturaleza y medioambiente, en diferentes contextos.
B;8B;OA 02;AR08;Artes Visuales;Aprendizajes Basales;Crear trabajos visuales a partir de diferentes desafíos creativos, experimentando con materiales sustentables en técnicas de impresión, papeles y textiles.
B;8B;OA 03;AR08;Artes Visuales;Aprendizajes Complementarios;Crear trabajos visuales a partir de diferentes desafíos creativos, usando medios de expresión contemporáneos como la instalación.
B;8B;OA 04;AR08;Artes Visuales;Aprendizajes Basales;Analizar manifestaciones visuales patrimoniales y contemporáneas, contemplando criterios como: contexto, materialidad, lenguaje visual y propósito expresivo.
B;8B;OA 05;AR08;Artes Visuales;Aprendizajes Complementarios;Evaluar trabajos visuales personales y de sus pares, considerando criterios como: materialidad, lenguaje visual y propósito expresivo.
B;8B;OA 06;AR08;Artes Visuales;Aprendizajes Basales;Comparar y valorar espacios de difusión de las artes visuales, considerando: medios de expresión presentes, espacio, montaje, público y aporte a la comunidad.
B;8B;OAA A;AR08;Artes Visuales;Actitudes;Disfrutar y valorar la diversidad en manifestaciones estéticas provenientes de múltiples contextos.
B;8B;OAA B;AR08;Artes Visuales;Actitudes;Valorar el patrimonio artístico de su comunidad, aportando a su cuidado.
B;8B;OAA C;AR08;Artes Visuales;Actitudes;Demostrar disposición a expresarse visualmente y desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
B;8B;OAA D;AR08;Artes Visuales;Actitudes;Aportar a la sustentabilidad del medioambiente utilizando y/o reciclando de manera responsable materiales en sus trabajos y proyectos visuales.
B;8B;OAA E;AR08;Artes Visuales;Actitudes;Respetar el trabajo visual de otros, valorando la originalidad.
B;8B;OAA F;AR08;Artes Visuales;Actitudes;Compartir trabajos y proyectos visuales con su comunidad o en otros círculos.
B;8B;OAA G;AR08;Artes Visuales;Actitudes;Buscar, evaluar y usar información disponible en diversos medios (uso de diversas competencias de información y de investigación).
B;8B;OAA H;AR08;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
M;1M;OA 01;AR1M;Artes Visuales;Aprendizajes Basales;Crear proyectos visuales con diversos propósitos, basados en la apreciación y reflexión acerca de la arquitectura, los espacios y el diseño urbano, en diferentes medios y contextos.
M;1M;OA 02;AR1M;Artes Visuales;Aprendizajes Basales;Crear trabajos y proyectos visuales basados en sus imaginarios personales, investigando el manejo de materiales sustentables en procedimientos de grabado y pintura mural.
M;1M;OA 03;AR1M;Artes Visuales;Aprendizajes Complementarios;Crear proyectos visuales basados en imaginarios personales, investigando en medios contemporáneos como libros de artista y arte digital.
M;1M;OA 04;AR1M;Artes Visuales;Aprendizajes Basales;Realizar juicios críticos de manifestaciones visuales considerando las condiciones contextuales de su creador y utilizando criterios estéticos pertinentes.
M;1M;OA 05;AR1M;Artes Visuales;Aprendizajes Complementarios;Realizar juicios críticos de trabajos y proyectos visuales personales y de sus pares, fundamentados en criterios referidos al contexto, la materialidad, el lenguaje visual y el propósito expresivo.
M;1M;OA 06;AR1M;Artes Visuales;Aprendizajes Basales;Diseñar propuestas de difusión hacia la comunidad de trabajos y proyectos de arte, en el contexto escolar y local, de forma directa o virtual, teniendo presente las manifestaciones visuales a exponer, el espacio, el montaje, el público y el aporte a la comunidad, entre otros.
M;1M;OAA A;AR1M;Artes Visuales;Actitudes;Disfrutar y valorar la diversidad en manifestaciones estéticas provenientes de múltiples contextos.
M;1M;OAA B;AR1M;Artes Visuales;Actitudes;Valorar el patrimonio artístico de su comunidad, aportando a su cuidado.
M;1M;OAA C;AR1M;Artes Visuales;Actitudes;Demostrar disposición a expresarse visualmente y desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
M;1M;OAA D;AR1M;Artes Visuales;Actitudes;Aportar a la sustentabilidad del medioambiente utilizando o reciclando de manera responsable materiales en sus trabajos y proyectos visuales.
M;1M;OAA E;AR1M;Artes Visuales;Actitudes;Respetar el trabajo visual de otros, valorando la originalidad.
M;1M;OAA F;AR1M;Artes Visuales;Actitudes;Compartir trabajos y proyectos visuales con su comunidad o en otros círculos.
M;1M;OAA G;AR1M;Artes Visuales;Actitudes;Buscar, evaluar y usar información disponible en diversos medios y fuentes.
M;1M;OAA H;AR1M;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
M;2M;OA 01;AR2M;Artes Visuales;Aprendizajes Basales;Crear proyectos visuales basados en la valoración crítica de manifestaciones estéticas referidas a problemáticas sociales y juveniles, en el espacio público y en diferentes contextos.
M;2M;OA 02;AR2M;Artes Visuales;Aprendizajes Basales;Crear trabajos y proyectos visuales basados en diferentes desafíos creativos, investigando el manejo de materiales sustentables en procedimientos de escultura y diseño.
M;2M;OA 03;AR2M;Artes Visuales;Aprendizajes Complementarios;Crear proyectos visuales basados en diferentes desafíos creativos, utilizando medios contemporáneos como video y multimedia.
M;2M;OA 04;AR2M;Artes Visuales;Aprendizajes Basales;Argumentar juicios críticos referidos a la valoración de diversas manifestaciones visuales, configurando una selección personal de criterios estéticos.
M;2M;OA 05;AR2M;Artes Visuales;Aprendizajes Complementarios;Argumentar evaluaciones y juicios críticos, valorando el trabajo visual personal y de sus pares, y seleccionando criterios de análisis según el tipo de trabajo o proyecto visual apreciado.
M;2M;OA 06;AR2M;Artes Visuales;Aprendizajes Basales;Implementar propuestas de difusión hacia la comunidad de trabajos y proyectos de arte, en el contexto escolar o local, de forma directa o virtual, contemplando las manifestaciones visuales a exponer, el espacio, el montaje, el público y el aporte a la comunidad, entre otros.
M;2M;OAA A;AR2M;Artes Visuales;Actitudes;Disfrutar y valorar la diversidad en manifestaciones estéticas provenientes de múltiples contextos.
M;2M;OAA B;AR2M;Artes Visuales;Actitudes;Valorar el patrimonio artístico de su comunidad, aportando a su cuidado.
M;2M;OAA C;AR2M;Artes Visuales;Actitudes;Demostrar disposición a expresarse visualmente y desarrollar su creatividad, experimentando, imaginando y pensando divergentemente.
M;2M;OAA D;AR2M;Artes Visuales;Actitudes;Aportar a la sustentabilidad del medioambiente utilizando o reciclando de manera responsable materiales en sus trabajos y proyectos visuales.
M;2M;OAA E;AR2M;Artes Visuales;Actitudes;Respetar el trabajo visual de otros, valorando la originalidad.
